ticker,Bloomberg Security Name,Section,first_any,first_daily,tier_by_daily_start,likely_price_only
LTP5TRUU,Bloomberg US Treasury TIPS 0-5,4. Inflation-Linked,2002-09-30,2011-01-03,tradable-only,False
LUACTRUU,Bloomberg US Corporate Total R,5. Credit,1973-01-31,1989-01-03,backbone,False
LUMSTRUU,Bloomberg US MBS Index Total R,5. Credit,1976-01-30,1989-01-03,backbone,False
EMUSTRUU,Bloomberg EM USD Aggregate Tot,5. Credit,1993-01-29,1997-01-02,backbone,False
LF98TRUU,Bloomberg US Corporate High Yi,5. Credit,1983-07-29,1999-01-04,backbone,False
I00183US,Bloomberg Intermediate Ba U.S.,5. Credit,1983-07-29,1999-01-04,backbone,False
I00184US,Bloomberg Long Ba U.S. High Yi,5. Credit,1983-07-29,1999-01-04,backbone,False
I00185US,Bloomberg B US High Yield  TR,5. Credit,1983-07-29,1999-01-04,backbone,False
I00188US,Bloomberg Caa US High Yield To,5. Credit,1983-07-29,1999-01-04,backbone,False
H02549US,Bloomberg Pan European Aggrega,5. Credit,1999-01-29,2001-01-02,backbone,False
LP01TRUH,Bloomberg Pan-European High Yi,5. Credit,1999-01-29,2001-01-02,backbone,False
LDC5TRUU,Bloomberg USD Corporate Bonds,5. Credit,1990-01-31,2004-01-02,second,False
I12877US,Bloomberg: EM USD Aggregate: C,5. Credit,2003-01-31,2006-01-03,second,False
SPBDALB,Morningstar LSTA US Leveraged,5. Credit,1997-01-01,2008-01-02,second,False
I20344US,Bloomberg EM Local Currency Go,5. Credit,2008-06-30,2009-01-02,second,False
SPXT,S&P 500 Total Return Index,6. Equity Regions - US,1989-09-11,1990-01-02,backbone,False
MXUSMC,MSCI USA MID CAP INDEX,6. Equity Regions - US,1994-05-31,1995-01-03,backbone,True
M1USSC,MSCI USA Small Cap Net Total R,6. Equity Regions - US (also 11. Factor/Style - US),2000-12-29,2001-01-02,backbone,False
MXCA,MSCI Canada Index,7. Equity Regions - Developed ex-US,1970-01-01,1972-01-03,backbone,True
MXEUG,MSCI Europe Excluding United K,7. Equity Regions - Developed ex-US,1995-01-02,1995-01-02,backbone,True
NDDLUK,MSCI UK Net Total Return Local,7. Equity Regions - Developed ex-US,1970-01-01,1999-01-01,backbone,False
NDDUUK,MSCI UK Net Total Return USD I,7. Equity Regions - Developed ex-US,1970-01-01,1999-01-01,backbone,False
NDDUJN,MSCI Japan Net Total Return US,7. Equity Regions - Developed ex-US,1970-01-01,1999-01-01,backbone,False
NDDUPXJ,MSCI Pacific ex Japan Net Tota,7. Equity Regions - Developed ex-US,1998-12-31,1999-01-04,backbone,False
M0JPHUSD,MSCI Japan US Dollar Hedged Ne,7. Equity Regions - Developed ex-US,1987-12-31,2002-01-02,second,False
MXKR,MSCI Korea Index,8. Equity Regions - Emerging Markets,1987-12-31,1988-01-04,backbone,True
MXLA,MSCI Emerging Markets Latin Am,8. Equity Regions - Emerging Markets,1987-12-31,1988-01-04,backbone,True
TAMSCI,MSCI Taiwan Index,8. Equity Regions - Emerging Markets,1987-12-31,1988-01-05,backbone,False
MXCN,MSCI China Index,8. Equity Regions - Emerging Markets,1992-12-31,1993-01-04,backbone,True
MXIN,MSCI India Index,8. Equity Regions - Emerging Markets,1992-12-31,1993-01-04,backbone,True
M1CXBRV,MSCI Emerging Markets ex China,8. Equity Regions - Emerging Markets,1998-12-31,1999-01-04,backbone,False
M1EF,MSCI Emerging Markets Net Tota,8. Equity Regions - Emerging Markets,2000-12-29,2001-01-01,backbone,False
MXUS0MT,MSCI USA Materials Index,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0CD,MSCI USA Consumer Discretionar,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0HC,MSCI USA Health Care Index,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0FN,MSCI USA Financials Index,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0IT,MSCI USA Information Technolog,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0TC,MSCI USA/COMM SVC STRD USD RT,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0UT,MSCI USA Utilities Index,9. US Sectors (MSCI USA),1995-01-02,1995-01-02,backbone,True
MXUS0EN,MSCI USA Energy Index,9. US Sectors (MSCI USA),1994-12-30,1995-01-03,backbone,True
MXUS0IN,MSCI USA Industrials Index,9. US Sectors (MSCI USA),1994-12-30,1995-01-03,backbone,True
MXUS0CS,MSCI USA Consumer Staples Inde,9. US Sectors (MSCI USA),1994-12-30,1995-01-03,backbone,True
MXUS0RE,MSCI US Real Estate Index GICS,9. US Sectors (MSCI USA),1994-12-30,1995-01-03,backbone,True
