ticker,name,section,first_daily,tier,hedged,investable,cost_bucket,reporting_class,not_investable_because,source_file
MXEU0RL,MSCI Europe Real Estate GICS L,10. European Sectors (MSCI Europe),2017-01-02,tradable-only,False,True,mid,European Equities,,bbg_index_coverage.csv
MXEU0TC,MSCI Europe Communication Serv,10. European Sectors (MSCI Europe),1995-01-02,backbone,False,True,mid,European Equities,,bbg_index_coverage.csv
MXEU0UT,MSCI Europe Utilities Sector I,10. European Sectors (MSCI Europe),1995-01-02,backbone,False,True,mid,European Equities,,bbg_index_coverage.csv
MXEUG,MSCI Europe Excluding United K,7. Equity Regions - Developed ex-US,1995-01-02,backbone,False,True,mid,European Equities,,bbg_index_coverage.csv
NDDLUK,MSCI UK Net Total Return Local,7. Equity Regions - Developed ex-US,1999-01-01,backbone,False,True,mid,European Equities,,bbg_index_coverage.csv
NDDUUK,MSCI UK Net Total Return USD I,7. Equity Regions - Developed ex-US,1999-01-01,backbone,False,True,mid,European Equities,,bbg_index_coverage.csv
BTSYTRUH,Bloomberg Global Treasury Tota,3. International Government Bonds,1998-01-02,backbone,True,False,mid,Ex-USD Bonds,hedged (decisions/0013),bbg_index_coverage.csv
H02549US,Bloomberg Pan European Aggrega,5. Credit,2001-01-02,backbone,True,False,mid,Ex-USD Bonds,hedged (decisions/0013),bbg_index_coverage.csv
H09122US,Bloomberg Euro Treasury 1-10 Y,3. International Government Bonds,2010-01-04,tradable-only,True,False,mid,Ex-USD Bonds,hedged (decisions/0013),bbg_index_coverage.csv
H12823US,Bloomberg UK Gilt 1-10 Total R,3. International Government Bonds,2010-01-04,tradable-only,True,False,mid,Ex-USD Bonds,hedged (decisions/0013),bbg_index_coverage.csv
I02513EU,Bloomberg Pan-European Governm,3. International Government Bonds,1999-01-04,backbone,False,True,mid,Ex-USD Bonds,,bbg_index_coverage.csv
I02913JP,japan_aggregate,3. International Government Bonds,2001-01-04,,False,True,mid,Ex-USD Bonds,,bbg_exusd_bonds_coverage.csv
I12823GB,uk_gilt_1_10y,3. International Government Bonds,2006-01-03,,False,True,mid,Ex-USD Bonds,,bbg_exusd_bonds_coverage.csv
LET1TREU,euro_treasury_1_10y,3. International Government Bonds,1999-01-04,,False,True,mid,Ex-USD Bonds,,bbg_exusd_bonds_coverage.csv
LG38TRUU,global_agg_ex_usd,3. International Government Bonds,2001-01-02,,False,True,mid,Ex-USD Bonds,,bbg_exusd_bonds_coverage.csv
LGTRTRGU,Bloomberg Global Aggregate Tre,3. International Government Bonds,2001-01-16,backbone,False,True,mid,Ex-USD Bonds,,bbg_index_coverage.csv
LGTRTRJU,Bloomberg Global Aggregate Tre,3. International Government Bonds,2001-01-16,backbone,False,True,mid,Ex-USD Bonds,,bbg_index_coverage.csv
LP05TREU,pan_euro_agg_corporate,3. International Government Bonds,1999-01-04,,False,True,mid,Ex-USD Bonds,,bbg_exusd_bonds_coverage.csv
BCOMGCTR,Bloomberg Gold Subindex Total,15. Real Assets,1975-01-14,backbone,False,True,high,Gold,,bbg_index_coverage.csv
I00183US,Bloomberg Intermediate Ba U.S.,5. Credit,1999-01-04,backbone,False,True,high,HY Corporates,,bbg_index_coverage.csv
I00184US,Bloomberg Long Ba U.S. High Yi,5. Credit,1999-01-04,backbone,False,True,high,HY Corporates,,bbg_index_coverage.csv
I00185US,Bloomberg B US High Yield  TR,5. Credit,1999-01-04,backbone,False,True,high,HY Corporates,,bbg_index_coverage.csv
I00188US,Bloomberg Caa US High Yield To,5. Credit,1999-01-04,backbone,False,True,high,HY Corporates,,bbg_index_coverage.csv
LF98TRUU,Bloomberg US Corporate High Yi,5. Credit,1999-01-04,backbone,False,True,high,HY Corporates,,bbg_index_coverage.csv
LP01TRUH,Bloomberg Pan-European High Yi,5. Credit,2001-01-02,backbone,True,False,high,HY Corporates,hedged (decisions/0013),bbg_index_coverage.csv
SPBDALB,Morningstar LSTA US Leveraged,5. Credit,2008-01-02,second,False,False,high,HY Corporates,"price index, not total return (decisions/0022)",bbg_index_coverage.csv
LDC5TRUU,Bloomberg USD Corporate Bonds,5. Credit,2004-01-02,second,False,True,mid,IG Corporates,,bbg_index_coverage.csv
LUACTRUU,Bloomberg US Corporate Total R,5. Credit,1989-01-03,backbone,False,True,mid,IG Corporates,,bbg_index_coverage.csv
M0JPHUSD,MSCI Japan US Dollar Hedged Ne,7. Equity Regions - Developed ex-US,2002-01-02,second,True,False,mid,Japanese Equities,hedged (decisions/0013),bbg_index_coverage.csv
NDDUJN,MSCI Japan Net Total Return US,7. Equity Regions - Developed ex-US,1999-01-01,backbone,False,True,mid,Japanese Equities,,bbg_index_coverage.csv
LT11TRUU,Bloomberg U.S. Treasury: 20+ Y,2. US Treasury Maturity Buckets,1994-01-31,backbone,False,True,low,Long Treasuries,,bbg_index_coverage.csv
LUTLTRUU,Bloomberg US Long Treasury Tot,2. US Treasury Maturity Buckets,1994-01-31,backbone,False,True,low,Long Treasuries,,bbg_index_coverage.csv
LUMSTRUU,Bloomberg US MBS Index Total R,5. Credit,1989-01-03,backbone,False,True,mid,MBS,,bbg_index_coverage.csv
ENXG,FTSE EPRA Nareit Global REITs,15. Real Assets,2009-01-02,second,False,True,high,Real Assets,,bbg_index_coverage.csv
